Tenant,Org,MA Public Firm TTC to PIT PD Converter,MA Sovereign TTC PD to PIT PD Converter,MA Private Firm TTC to PIT PD Converter,MA CI Loss Rate Model,MA Expected Consumer Credit Losses,MA CRE Loss Rate Model,Commercial Mortgage Metrics,Commercial Mortgage Metrics Co-op,Commercial Mortgage Metrics REIS,Commercial Mortgage Metrics Co-op REIS,MA Structured Analytics,MA Sovereign TTC to PIT PD Converter,MA Sovereign TTC to PIT PD Converter 9.1,Mortgage Portfolio Analyzer,Auto Portfolio Analyzer,MA Muni Loss Forecast Model,MA Municipal Loss Forecast Model,MA CI Proxy PD,MA CI Proxy LGD,RiskCalc LGD,RiskCalc PD CCA,RiskCalc PD FSO,MA Expected Consumer Credit Losses Standard,Mortgage Portfolio Analyzer-Custom Cure Rate,MA Structured Analytics - Aegon - 1,MA Structured Analytics - Aegon - 2,MA Structured Analytics - Aegon - 3,MA Structured Analytics - Aegon - 4,MA Structured Analytics - Aegon - 5,MIS Corporate LGD,MIS US Municipal Bond LGD,MIS Sovereign PD,MIS Sovereign LGD,MIS Structured Finance LGD,MIS Structured Finance PD,MIS US Municipal Bond PD,MIS Idealized Cumulative Expected Default Rates,MA Historical Loss Analyzer,MA Historical Loss Analyzer for CECL Calibration,MA Historical Loss Analyzer Qualitative Adjustment,Portfolio Analyzer Credit Cards,Portfolio Analyzer Personal Loans,Portfolio Analyzer Student Loans,CreditEdge 9.1,Auto Lease Portfolio Analyzer,MA C&I Loss Rate Model,MA Private Firm TTC Rating to TTC PD,GCorr 2019 with Sovereign,GCorr 2020,GCorr 2021,GCorr 2022,MA Data Buffet Scenarios,Auto Portfolio Analyzer - Alliant,Auto Portfolio Analyzer - FirstBank Puerto Rico,Commercial Mortgage Metrics REIS 2,Cluster,Internal,Updated date,Product-IS,Product-CRA,CF Scenario-US,US National,US_Monthly,Int_Quarterly,Int_Monthly,State-MSA,State-MSA-Monthly,MIS Corporate LGD long run,SFTP,securities solution,Product-PS,CMO Custom Lookup,MA EL RBC PD LGD Rating - Forecasting,MA EDFX Model
0014000000NXtS8,Moody's,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,TRUE,4/21/2022,TRUE,,,TRUE,TRUE,International,International,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0013300001eOgkB,Moody's Analytics,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,TRUE,4/21/2022,TRUE,,,TRUE,TRUE,International,International,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
001f300001ump08,"Aegon USA, LLC (Transamerica)",TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,TRUE,International,International,TRUE,TRUE,,,,,,,
0014000000NXtWy,AFLAC,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXqkX,AgCountry Farm Credit Services,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXy9I,AgFirst Farm Credit Bank,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000P6JTd,AIA Hong Kong,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,High,,3/1/2022,TRUE,,,TRUE,,IARE#IAUS#ICHN#IDEU#IEUZN#IGBR#IHKG#IIDN#IIND#IJPN#IKOR#IMEX#IMYS#INZL#IPHL#ISAU#ISGP#ITHA#ITWN#IVNM#IWRLD,,,,,,,,,,
0014000000NXo9G,Alliant Credit Union,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE
0014000000NXoQs,Allstate,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001boOWT,Bravera Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
